length_url,random_domain,nb_external_redirection,suspecious_tld,external_favicon,links_in_tags,sfh,domain_in_title,domain_age,web_traffic,status
37,0,0,0,0,80,0,0,-1,0,legitimate
77,0,0,0,0,100,0,1,5767,0,phishing
126,0,0,0,0,100,0,1,4004,5828815,phishing
18,0,0,0,0,100,0,1,-1,107721,legitimate
55,0,0,0,0,76.47058824,0,0,8175,8725,legitimate
32,0,0,0,0,100,0,1,-1,0,phishing
19,0,0,0,1,0,0,0,7529,0,legitimate
81,0,0,0,0,100,0,1,5767,0,phishing
42,0,0,0,1,0,0,1,7298,0,legitimate
104,0,0,0,1,93.10344828,0,1,9368,6774,legitimate
56,0,0,0,0,100,0,1,-1,1627089,legitimate
43,0,0,0,0,100,0,1,7911,944,legitimate
83,0,0,0,0,100,0,1,1505,158942,legitimate
31,1,0,0,0,0,0,1,1761,1173197,phishing
25,0,0,0,1,82.35294118,0,0,2041,4297684,legitimate
51,0,0,0,0,100,0,1,3892,0,phishing
31,0,0,0,0,100,0,1,8301,99386,legitimate
50,0,0,0,0,100,0,1,2316,0,phishing
34,0,0,0,0,0,0,1,2935,0,phishing
27,1,0,0,0,66.66666667,0,1,3932,927214,legitimate
63,0,0,0,1,92.59259259,0,0,8759,26017,legitimate
66,0,0,0,0,76.92307692,0,1,5647,1040,legitimate
40,1,0,0,0,100,0,1,1184,0,phishing
48,0,0,0,0,100,0,1,3476,4672316,legitimate
126,0,0,0,0,100,0,1,3993,5707171,phishing
41,0,0,0,1,46.15384615,0,1,7296,0,phishing
36,0,0,0,0,100,0,1,6989,2203390,legitimate
72,0,0,0,1,66.66666667,0,1,4845,5964,legitimate
68,0,0,0,0,100,0,1,3993,5707171,phishing
163,0,0,1,1,66.66666667,0,1,-1,0,phishing
26,0,0,0,0,92.85714286,0,0,1170,390047,legitimate
64,0,0,0,1,20,0,1,1237,0,phishing
36,0,0,0,1,0,0,1,5627,0,phishing
61,1,0,0,0,0,0,1,3767,9264543,phishing
66,0,0,0,1,0,0,0,9316,13,legitimate
35,0,0,0,0,0,0,1,7849,0,legitimate
113,0,0,0,1,96.66666667,0,1,3920,0,phishing
41,0,0,0,0,40,0,1,5159,0,legitimate
23,1,0,0,0,100,0,1,-1,74862,legitimate
31,0,0,0,0,72.22222222,0,1,5230,5828226,legitimate
84,0,0,0,0,100,0,1,3125,0,phishing
29,1,0,0,0,100,0,1,5026,544886,phishing
98,0,0,0,1,40,0,1,2300,0,phishing
15,0,0,0,0,94.44444444,0,0,2580,1671658,legitimate
65,0,0,0,0,100,0,0,5825,7698,legitimate
131,0,0,0,1,7.692307692,0,1,8019,0,phishing
50,0,0,0,1,31.25,0,0,7839,607,legitimate
51,0,0,0,1,0,0,1,2306,0,phishing
45,1,0,0,0,94.73684211,0,1,-1,6431,legitimate
159,0,0,0,0,100,0,1,1500,0,phishing
44,0,0,0,1,93.75,0,1,2739,11657,phishing
103,0,0,0,1,45.45454545,0,1,134,1508317,phishing
46,0,0,0,0,0,0,1,7802,0,phishing
45,0,0,0,0,100,0,1,7133,12,legitimate
51,0,0,0,1,28.57142857,0,1,1690,0,phishing
38,0,0,0,1,82.85714286,0,1,1588,0,phishing
81,0,0,0,0,100,0,1,5767,0,phishing
112,0,0,0,1,52.63157895,0,1,7615,2190,legitimate
39,0,0,0,1,50,0,1,8348,1,phishing
99,0,0,0,1,33.33333333,0,1,8348,1,phishing
45,0,0,0,0,100,0,1,6989,2203390,legitimate
60,0,0,0,1,0,0,1,5615,0,phishing
74,0,0,0,0,0,0,1,9327,4053,legitimate
61,0,0,0,0,100,0,1,3561,6010,legitimate
40,0,0,0,0,0,0,1,5614,0,phishing
52,0,0,0,0,0,0,1,5408,0,phishing
88,0,0,0,0,0,0,0,8346,1,phishing
74,0,0,0,0,83.33333333,0,1,5877,24587,legitimate
46,0,0,0,1,7.692307692,0,1,2633,827,legitimate
54,0,0,0,0,0,0,1,6512,1680566,legitimate
54,0,0,0,0,0,0,1,-1,0,phishing
38,0,0,0,0,100,0,0,7134,12,legitimate
67,0,0,0,1,59.375,0,0,9394,1294,legitimate
62,1,0,0,0,0,0,1,5044,0,phishing
59,0,0,0,0,100,0,1,2573,0,phishing
57,0,0,0,0,0,0,1,1246,7048,phishing
32,0,0,0,1,63.63636364,0,0,2872,8400,legitimate
46,0,0,0,0,0,0,1,4537,0,phishing
37,0,0,0,0,100,0,0,7133,12,legitimate
36,0,0,0,1,0,0,1,7295,0,phishing
52,0,0,0,0,0,0,1,973,8238037,phishing
32,0,0,0,1,0,0,1,7296,0,phishing
34,0,0,0,0,50,0,1,7491,63,legitimate
27,0,0,0,1,25,0,1,-1,479698,legitimate
92,0,0,0,0,100,0,1,-1,0,phishing
102,0,0,0,1,61.11111111,0,1,8442,43102,legitimate
32,0,0,0,1,0,0,1,2277,2426481,legitimate
29,0,0,0,0,58.33333333,0,1,1800,0,legitimate
119,1,0,0,1,82.35294118,0,1,-1,0,phishing
59,0,0,0,0,97.5,0,1,3952,3862928,legitimate
54,0,0,0,0,0,0,1,4855,128132,legitimate
151,0,0,0,1,60,0,1,166,0,phishing
84,0,0,0,1,58.82352941,0,1,4093,52436,legitimate
55,1,0,0,1,60,0,1,-1,1080262,phishing
18,1,0,0,1,41.66666667,0,0,-1,294723,legitimate
39,0,0,0,1,12.5,0,0,8516,8,legitimate
28,0,0,0,0,100,0,1,7689,381695,legitimate
32,1,0,0,1,81.81818182,0,1,5913,86462,legitimate
16,1,0,0,1,66.66666667,0,0,-1,2346124,legitimate
23,0,0,0,0,0,0,1,4141,0,phishing
29,0,0,0,1,0,0,1,4664,0,legitimate
29,0,0,0,0,100,0,1,317,0,phishing
41,0,0,0,0,60,0,1,4566,44445,legitimate
22,0,0,0,0,27.27272727,0,1,-1,3523,phishing
52,0,0,0,0,0,0,1,657,0,phishing
38,0,0,0,0,0,0,1,-1,9412550,phishing
30,0,0,0,1,9.090909091,0,1,-1,0,legitimate
76,0,0,0,0,100,0,1,3993,5707171,phishing
430,0,1,0,1,0,0,1,-1,0,phishing
